,time_list,u,v,r,x,y,psi,δ,npm,X_H_ref,X_R_ref,X_P_ref,Y_H_ref,Y_R_ref,N_H_ref,N_R_ref,x_bow,y_bow,x_stern,y_stern
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-0.0,-0.0,5.47170413399083,0.0,-0.0,-0.0,0.0,1.75,0.0,-1.75,0.0
1,1.0077519379844961,0.028750877939306623,0.0012877639071362309,-0.0036180999485584133,0.0041812494273250475,0.00013376742125422407,-0.0036461472349813466,-0.17453292519943295,9.0,-0.0059524043756260785,-0.24096870149009159,5.364544796565079,-0.012519132279064201,1.3666014158576434,0.01564664792277144,-2.7202708436447036,1.7541696168492606,-0.006246976101926086,-1.7458071179946106,0.006514510944434534
2,2.0155038759689923,0.05605428623336908,0.003637966818458339,-0.009991431580890572,0.016416947169515094,0.0007784146612100334,-0.01371503177386332,-0.17453292519943295,9.0,-0.027340476224395983,-0.2390622873465888,5.239277693796676,-0.07373808487519426,1.355789603984934,0.09171080758911324,-2.698749530800281,1.7662523604149771,-0.02322213850081023,-1.733418466075947,0.024778967823230295
3,3.0232558139534884,0.08256933793026018,0.006194583428721964,-0.01636967147733167,0.036410466091383265,0.0018963941403032508,-0.03021159992931384,-0.17453292519943295,9.0,-0.06457323715168373,-0.2371835156310907,5.113837306554987,-0.18750035802429227,1.3451345601116176,0.2286258460647744,-2.6775402704775497,1.785611878662095,-0.05096586328999908,-1.7127909464793283,0.05475865157060558
4,4.0310077519379846,0.10823187636224049,0.008952989607950398,-0.022460254241223693,0.06395621682417947,0.003213189287582002,-0.05284596466853152,-0.17453292519943295,9.0,-0.11637640565014609,-0.23552409075847205,4.990697416918237,-0.35110262424711974,1.335723494000514,0.4150814223866753,-2.6588071940643503,1.8115131764752963,-0.08922420993451134,-1.6836007428269375,0.09565058850967535
5,5.038759689922481,0.13286854981749185,0.011974653954451204,-0.028215671340047682,0.09880319673078107,0.004348152817198064,-0.08128036214299818,-0.17453292519943295,9.0,-0.18141499164403815,-0.2340473168046379,4.87051889695089,-0.5624965089744272,1.3273482927244493,0.6388969509349051,-2.6421360450544276,1.8430256934253888,-0.13773591393354315,-1.6454192999638269,0.14643221956793925
6,6.046511627906977,0.15631986668249817,0.01529277750758361,-0.03357626034358388,0.14064659475873248,0.004832866008867093,-0.11511690357451682,-0.17453292519943295,9.0,-0.25803046732010554,-0.23273561787248734,4.75416891993952,-0.8185737267418253,1.319909278417732,0.8862510429609879,-2.627328410956288,1.8790639804079448,-0.19617706725951192,-1.5977707908904797,0.2058427992772461
7,7.054263565891473,0.17841867108546838,0.018928896665488654,-0.03851863529465368,0.18911578916689548,0.004139667579671954,-0.15393413294122207,-0.17453292519943295,9.0,-0.34444043648291384,-0.23153919710338217,4.642411145237627,-1.1161092605735392,1.3131240390612928,1.1442026487201338,-2.6138221401634336,1.9184229459803097,-0.26418244741256164,-1.5401913676465186,0.2724617825719055
8,8.062015503875969,0.17841867108546838,0.018928896665488654,-0.03851863529465368,0.18911578916689548,0.004139667579671954,-0.19275136230792733,-0.17453292519943295,9.0,-0.34444043648291384,-0.23153919710338217,4.642411145237627,-1.1161092605735392,1.3131240390612928,1.1442026487201338,-2.6138221401634336,1.906707363548606,-0.33109037822910814,-1.528475785214815,0.339369713388452
9,9.069767441860465,0.20040465290723453,0.021598658813943825,-0.03921773481575707,0.24375388571443243,-0.000691843321424119,-0.23227311057186856,0.0013529684123987085,9.0,-0.4100230080774225,-0.0005284861001445173,4.559633066593598,-1.2988113789994589,-0.3906120592562596,1.20822739236504,0.777527802650474,1.9467587939541828,-0.4035246653596968,-1.4592510225253181,0.4021409787168485
10,10.077519379844961,0.22207792655002423,0.022537431557098593,-0.03465774119781342,0.30440840484491977,-0.00859864316709633,-0.2671995164301301,0.17453292519943295,9.0,-0.4394460282085461,-0.3613910900613208,4.5199616542340255,-1.2870458927469184,-2.049550718836595,1.0077466474369574,4.079706780870924,1.9923080677892058,-0.47065354015723276,-1.3834912580993661,0.45345625382304006
11,11.085271317829458,0.24341766739433904,0.02241529552470239,-0.027630116549652688,0.37073141935906573,-0.020160948988786422,-0.2950438199297801,0.17453292519943295,9.0,-0.45704390344918916,-0.3533452349684148,4.50281860344076,-1.1843937417878267,-2.0039204071249186,0.6922276572142867,3.9888779517073054,2.0451128714635844,-0.5290290584713548,-1.3036500327454532,0.48870716049378204
12,12.093023255813954,0.2649461877422612,0.02209397591424356,-0.021023633206843414,0.44257513221880024,-0.03543946806134974,-0.3162304270374518,0.17453292519943295,9.0,-0.4869621886154888,-0.34640234882138055,4.477490476539686,-1.0928966397414186,-1.9645453431435678,0.39123179985134604,3.9105004253325846,2.1058004244754165,-0.5796651815276398,-1.2206501600378161,0.5087862454049402
13,13.10077519379845,0.2867598852917055,0.021630401452825177,-0.015133752186318336,0.5199909551615056,-0.054279168375055864,-0.3314814951321912,0.17453292519943295,9.0,-0.5304265782032451,-0.34140163051438044,4.43890482834187,-1.011975304897174,-1.9361848603240486,0.10757019091133786,3.854047831598655,2.1747231204977036,-0.6238065698245195,-1.134741210174692,0.5152482330744078
14,14.108527131782946,0.30854913123477373,0.020937399626937286,-0.009853424458844014,0.6029854497259992,-0.07651878506211787,-0.3414113027263751,0.17453292519943295,9.0,-0.5848698960535194,-0.33795089655425614,4.389470265973595,-0.9287962949884959,-1.9166147755516583,-0.16494116639918632,3.8150928514586857,2.2519808319640893,-0.6624490107353256,-1.0460099325120906,0.5094114406110899
