,time,X_F_target,Y_F_target,N_F_target,psi
0,0,2.0,0.0,0.0,0.0
1,1,3.4265847744427305,0.0,-0.0009150713529031347,0.0238460591028499
2,2,2.88167787843871,0.0,-0.0026048429576017284,0.0807961574366831
3,3,1.1183221215612904,0.0,-0.00198511348291865,0.1591605933755837
4,4,0.5734152255572695,0.0,-0.0016089942071569018,0.2532321440372592
5,5,1.9999999999999996,0.0,-0.007876721495621655,0.3593217203110767
6,6,3.4265847744427305,0.0,-0.01753340860547832,0.4744664590425639
7,7,2.88167787843871,0.0,-0.01812221038508214,0.5961942274139379
8,8,1.1183221215612908,0.0,-0.00828089276038345,0.7223347555495012
9,9,0.5734152255572693,0.0,-0.0048254863613625175,0.8501357598425408
10,10,1.9999999999999993,0.0,-0.01856971346211085,0.9773262511202648
11,11,3.42658477444273,0.0,-0.03424418290869689,1.1023982374645045
12,12,2.8816778784387105,0.0,-0.03035246670198889,1.2239187218432803
13,13,1.118322121561291,0.0,-0.012194549993700135,1.340507972052823
14,14,0.5734152255572693,0.0,-0.006376597278843423,1.451489630781826
15,15,1.999999999999999,0.0,-0.022397805740881845,1.5567992131151265
16,16,3.42658477444273,0.0,-0.038237626410975084,1.656275888177572
17,17,2.881677878438711,0.0,-0.03175999229266881,1.7496432531607384
18,18,1.1183221215612913,0.0,-0.012084719474091954,1.836789674448756
19,19,0.5734152255572691,0.0,-0.006038041578296956,1.9184480501865977
20,20,1.9999999999999984,0.0,-0.02041222461866254,1.9952593030634984
21,21,3.42658477444273,0.0,-0.03373986702593458,2.0675133203069382
22,22,2.881677878438711,0.0,-0.02726544003187906,2.1354190002319178
23,23,1.1183221215612917,0.0,-0.01013036959788602,2.1994864400366763
24,24,0.5734152255572691,0.0,-0.004955681232251418,2.2601732672621604
25,25,1.9999999999999982,0.0,-0.016431271891397044,2.3180782301807947
26,26,3.4265847744427296,0.0,-0.026654065256924042,2.373841908168882
27,27,2.8816778784387114,0.0,-0.021138309609323634,2.427478889640017
28,28,1.118322121561292,0.0,-0.007705035030950378,2.47900090287522
29,29,0.5734152255572691,0.0,-0.003693378431120567,2.5288772839149565
30,30,1.9999999999999978,0.0,-0.011968904711720093,2.577882355846929
31,31,3.4265847744427296,0.0,-0.018921554536051797,2.62601844158057
32,32,2.881677878438712,0.0,-0.014571915974173736,2.673152227997112
33,33,1.1183221215612922,0.0,-0.005132184324615124,2.719414383210128
34,34,0.5734152255572689,0.0,-0.0023609478850058667,2.7651441125547733
35,35,1.9999999999999973,0.0,-0.007279196442728805,2.8106188575370923
36,36,3.4265847744427296,0.0,-0.010812932712926262,2.8559750929912537
37,37,2.881677878438712,0.0,-0.00768854735124506,2.901058500239705
38,38,1.1183221215612926,0.0,-0.002436483532040314,2.9458180533024745
39,39,0.5734152255572686,0.0,-0.0009671136512092934,2.990429658420393
40,40,1.9999999999999971,0.0,-0.00237860511372588,3.035204346668123
41,41,3.4265847744427296,0.0,-0.0023565631842244507,3.0801495872492906
42,42,2.8816778784387123,0.0,-0.0005292233848978977,3.125194496795512
43,43,1.1183221215612928,0.0,0.00035891647874754343,3.1702521076940955
44,44,0.5734152255572686,0.0,0.00047386155981700006,3.2154441134931075
45,45,1.9999999999999967,0.0,0.0026701801961259105,3.2610812573373393
46,46,3.4265847744427296,0.0,0.006326392317705686,3.3071938353958577
47,47,2.8816778784387127,0.0,0.0067923497786133305,3.353631694738531
48,48,1.118322121561293,0.0,0.0032044594537597214,3.4003100260298407
49,49,0.5734152255572686,0.0,0.0019329656160205634,3.447312246373507
50,50,1.9999999999999962,0.0,0.007753269100039557,3.495033581404994
51,51,3.426584774442726,0.0,0.015012333906203493,3.543498306783641
52,52,2.8816778784387127,0.0,0.014061277150571396,3.592379228959611
53,53,1.1183221215612849,0.0,0.006006372303696052,3.641726195519891
54,54,0.5734152255572684,0.0,0.003357150129399717,3.691651429248102
55,55,1.9999999999999853,0.0,0.01266201681125058,3.7423514926242336
56,56,3.426584774442729,0.0,0.023297261553049255,3.79393729282117
57,57,2.8816778784387047,0.0,0.020905449877815924,3.846197805485635
58,58,1.1183221215612937,0.0,0.008606181558050681,3.899094969170173
59,59,0.5734152255572651,0.0,0.0046570785550707474,3.952841147410478
60,60,1.9999999999999956,0.0,0.01706318897593426,4.007601891114347
61,61,3.4265847744427322,0.0,0.030571944111136905,4.0632522880413084
62,62,2.8816778784387136,0.0,0.026771271662731855,4.119767412597967
63,63,1.1183221215613026,0.0,0.010774021786028539,4.177229035175351
64,64,0.5734152255572682,0.0,0.005706503092775944,4.235771731472339
65,65,2.0000000000000058,0.0,0.020479043240186894,4.295228253903085
66,66,3.4265847744427287,0.0,0.03596125708122803,4.355631121300607
67,67,2.8816778784387225,0.0,0.030877430006417562,4.4170523705950755
68,68,1.1183221215612944,0.0,0.012187188500910396,4.479539744401711
69,69,0.5734152255572713,0.0,0.006330398950546071,4.543059079523218
70,70,1.999999999999995,0.0,0.022276492681822753,4.607329055815936
71,71,3.4265847744427256,0.0,0.03834704533382984,4.6723850490241166
72,72,2.881677878438714,0.0,0.032263974017837496,4.738281440742189
73,73,1.118322121561286,0.0,0.01247149292828848,4.805034617845005
74,74,0.573415225557268,0.0,0.006340075255483113,4.872531301657854
75,75,1.9999999999999838,0.0,0.02181943955481952,4.94055827436694
76,76,3.4265847744427287,0.0,0.03669972404449478,5.009192998529115
77,77,2.8816778784387056,0.0,0.030135972838157728,5.078487831856801
78,78,1.1183221215612948,0.0,0.01135311381530519,5.1484528646305066
